Ward-Code,Ward-Name,Townsend01,Quintiles
00KANH,Saints,5.09,5
00KANJ,South,5.30,5
00KANK,Stopsley,-1.93,2
00KANL,Sundon Park,0.27,4
00KANM,Wigmore,-1.22,3
00KFMP,Belfairs,-0.75,3
00KFMQ,Blenheim Park,0.42,4
00KFMR,Chalkwell,1.01,4
00KFMS,Eastwood Park,-2.49,2
00KFMT,Kursaal,5.76,5
00KFMU,Leigh,-0.51,3
00KFMW,Milton,4.41,5
00KFMX,Prittlewell,-0.38,3
00KFMY,St Laurence,-0.98,3
00KFMZ,St. Luke's,0.67,4
00KFNA,Shoeburyness,1.06,4
00KFNB,Southchurch,0.16,4
00KFNC,Thorpe,-2.14,2
00KFND,Victoria,4.73,5
00KFNE,Westborough,1.37,4
00KFNF,West Leigh,-2.69,1
00KFNG,West Shoebury,-0.13,4
00KGMX,Aveley and Uplands,0.66,4
00KGMY,Belhus,2.88,5
00KGMZ,Chadwell St Mary,1.92,4
00KGNA,Chafford and North Stifford,-3.14,1
00KGNB,Corringham and Fobbing,-2.62,2
00KGNC,East Tilbury,-1.41,3
00KGND,Grays Riverside,2.08,4
00KGNE,Grays Thurrock,0.89,4
00KGNF,Little Thurrock Blackshots,-1.40,3
00KGNG,Little Thurrock Rectory,-2.29,2
00KGNH,Ockendon,0.95,4
00KGNJ,Orsett,-2.78,1
00KGNK,South Chafford,-4.24,1
00KGNL,Stanford East and Corringham Town,0.18,4
00KGNM,Stanford-le-Hope West,-0.72,3
00KGNN,Stifford Clays,-0.37,3
00KGNP,The Homesteads,-3.48,1
00KGNQ,Tilbury Riverside and Thurrock Park,4.58,5
00KGNR,Tilbury St Chads,3.92,5
00KGNS,West Thurrock and South Stifford,1.83,4
00LCNN,Chatham Central,3.68,5
00LCNP,Cuxton and Halling,-2.63,1
00LCNQ,Gillingham North,3.15,5
00LCNR,Gillingham South,1.33,4
00LCNS,Hempstead and Wigmore,-4.08,1
00LCNT,Lordswood and Capstone,-1.77,2
00LCNU,Luton and Wayfield,2.41,5
00LCNW,Peninsula,-1.36,3
00LCNX,Princes Park,-0.78,3
00LCNY,Rainham Central,-2.90,1
00LCNZ,Rainham North,-1.46,3
00LCPA,Rainham South,-1.96,2
00LCPB,River,4.09,5
00LCPC,Rochester East,1.95,4
00LCPD,Rochester South and Horsted,-1.77,2
00LCPE,Rochester West,0.46,4
00LCPF,Strood North,-0.90,3
00LCPG,Strood Rural,-2.02,2
00LCPH,Strood South,1.08,4
00LCPJ,Twydall,1.07,4
00LCPK,Walderslade,-0.65,3
00LCPL,Watling,-1.76,2
00MAMW,Ascot,-2.94,1
00MAMX,Binfield with Warfield,-2.81,1
00MAMY,Bullbrook,0.39,4
00MAMZ,Central Sandhurst,-2.66,1
00MANA,College Town,-2.39,2
00MANB,Crown Wood,-1.10,3
00MANC,Crowthorne,-1.54,3
00MAND,Great Hollands North,0.43,4
00MANE,Great Hollands South,-0.96,3
00MANF,Hanworth,-0.69,3
00MANG,Harmans Water,-0.24,4
00MANH,Little Sandhurst and Wellington,-3.10,1
00MANJ,Old Bracknell,0.35,4
00MANK,Owlsmoor,-3.44,1
00MANL,Priestwood and Garth,1.31,4
00MANM,Warfield Harvest Ride,-3.77,1
00MANN,Wildridings and Central,1.51,4
00MANP,Winkfield and Cranbourne,-3.28,1
00MBNJ,Aldermaston,-1.95,2
00MBNK,Basildon,-2.73,1
00MBNL,Birch Copse,-4.21,1
00MBNM,Bucklebury,-2.56,2
00MBNN,Burghfield,-3.02,1
00MBNP,Calcot,-2.06,2
00MBNQ,Chieveley,-2.31,2
00MBNR,Clay Hill,-0.65,3
00MBNS,Cold Ash,-3.21,1
00MBNT,Compton,-0.95,3
00MBNU,Downlands,-1.30,3
00MBNW,Falkland,-3.38,1
00MBNX,Greenham,-0.10,4
00MBNY,Hungerford,-1.51,3
00MBNZ,Kintbury,-1.77,2
00MBPA,Lambourn Valley,-1.08,3
00MBPB,Mortimer,-2.14,2
00MBPC,Northcroft,0.60,4
00MBPD,Pangbourne,-2.08,2
00MBPE,Purley on Thames,-3.99,1
00MBPF,St Johns,-1.23,3
00MBPG,Speen,-0.90,3
00MBPH,Sulhamstead,-1.82,2
00MBPJ,Thatcham Central,-1.58,3
00MBPK,Thatcham North,-1.59,3
00MBPL,Thatcham South and Crookham,-2.53,2
00MBPM,Thatcham West,-2.56,2
00MBPN,Theale,-0.97,3
00MBPP,Victoria,1.07,4
00MBPQ,Westwood,-4.79,1
00MCMR,Abbey,3.93,5
00MCMS,Battle,1.67,4
00MCMT,Caversham,0.26,4
00MCMU,Church,3.57,5
00MCMW,Katesgrove,3.30,5
00MCMX,Kentwood,-1.25,3
00MCMY,Mapledurham,-3.96,1
00MCMZ,Minster,1.97,4
00MCNA,Norcot,1.94,4
00MCNB,Park,1.80,4
00MCNC,Peppard,-2.82,1
00MCND,Redlands,2.92,5
00MCNE,Southcote,1.57,4
00MCNF,Thames,-3.33,1
00MCNG,Tilehurst,-1.47,3
00MCNH,Whitley,4.04,5
00MDMQ,Baylis and Stoke,7.62,5
00MDMR,Britwell,5.24,5
00MDMS,Central,6.89,5
00MDMT,Chalvey,5.67,5
00MDMU,Cippenham Green,0.11,4
00MDMW,Cippenham Meadows,1.08,4
00MDMX,Colnbrook with Poyle,-0.02,4
00MDMY,Farnham,3.59,5
00MDMZ,Foxborough,1.94,4
00MDNA,Haymill,1.38,4
00MDNB,Kedermister,3.52,5
00MDNC,Langley St Mary's,-0.32,3
00MDND,Upton,1.47,4
00MDNE,Wexham Lea,5.76,5
00MEMZ,Ascot and Cheapside,-2.55,2
00MENA,Belmont,-0.46,3
00MENB,Bisham and Cookham,-2.51,2
00MENC,Boyn Hill,-1.27,3
00MEND,Bray,-3.17,1
00MENE,Castle Without,-0.20,4
00MENF,Clewer East,-1.31,3
00MENG,Clewer North,-0.89,3
00MENH,Clewer South,0.20,4
00MENJ,Cox Green,-3.07,1
00MENK,Datchet,-1.15,3
00MENL,Eton and Castle,1.23,4
00MENM,Eton Wick,-0.40,3
00MENN,Furze Platt,-1.23,3
00MENP,Horton and Wraysbury,-2.69,1
00MENQ,Hurley and Walthams,-1.17,3
00MENR,Maidenhead Riverside,-0.95,3
00MENS,Old Windsor,-1.87,2
00MENT,Oldfield,0.69,4
00MENU,Park,-2.14,2
00MENW,Pinkneys Green,-1.58,3
00MENX,Sunningdale,-2.39,2
00MENY,Sunninghill and South Ascot,-1.62,3
00MFNB,Arborfield,-2.55,2
00MFNC,Barkham,-3.16,1
00MFND,Bulmershe and Whitegates,-1.02,3
00MFNE,Charvil,-3.72,1
00MFNF,Coronation,-3.86,1
00MFNG,Emmbrook,-3.31,1
00MFNH,Evendons,-4.00,1
00MFNJ,Finchampstead North,-4.26,1
00MFNK,Finchampstead South,-2.92,1
00MFNL,Hawkedon,-3.58,1
00MFNM,Hillside,-3.76,1
00MFNN,Hurst,-3.16,1
00MFNP,Loddon,-2.39,2
00MFNQ,Maiden Erlegh,-3.67,1
00MFNR,Norreys,-1.83,2
00MFNS,Remenham,-2.50,2
00MFNT,Shinfield North,-0.41,3
00MFNU,Shinfield South,-2.57,2
00MFNW,Sonning,-3.12,1
00MFNX,South Lake,-3.61,1
00MFNY,Swallowfield,-2.09,2
00MFNZ,Twyford,-3.03,1
00MFPA,Wescott,-2.15,2
00MFPB,Winnersh,-3.01,1
00MFPC,Wokingham Without,-3.90,1
00MGNB,Bletchley and Fenny Stratford,0.61,4
00MGNC,Bradwell,1.65,4
00MGND,Campbell Park,3.22,5
00MGNE,Danesborough,-2.48,2
00MGNF,Denbigh,0.06,4
00MGNG,Eaton Manor,4.92,5
00MGNH,Emerson Valley,-2.12,2
00MGNJ,Furzton,-0.73,3
00MGNK,Hanslope Park,-2.90,1
00MGNL,Linford North,-1.26,3
00MGNM,Linford South,-0.81,3
00MGNN,Loughton Park,-1.24,3
00MGNP,Middleton,-1.62,3
00MGNQ,Newport Pagnell North,-2.56,2
00MGNR,Newport Pagnell South,-2.49,2
00MGNS,Olney,-2.72,1
00MGNT,Sherington,-2.45,2
00MGNU,Stantonbury,0.61,4
00MGNW,Stony Stratford,0.26,4
00MGNX,Walton Park,-1.42,3
00MGNY,Whaddon,-1.00,3
00MGNZ,Wolverton,1.17,4
00MGPA,Woughton,6.21,5
00MLND,Brunswick and Adelaide,4.62,5
00MLNE,Central Hove,4.16,5
00MLNF,East Brighton,5.96,5
00MLNG,Goldsmid,2.85,5
00MLNH,Hangleton and Knoll,1.23,4
00MLNJ,Hanover and Elm Grove,2.71,5
00MLNK,Hollingbury and Stanmer,2.45,5
00MLNL,Moulsecoomb and Bevendean,4.24,5
00MLNM,North Portslade,0.20,4
00MLNN,Patcham,-1.38,3
00MLNP,Preston Park,1.22,4
00MLNQ,Queen's Park,6.12,5
00MLNR,Regency,5.65,5
00MLNS,Rottingdean Coastal,-1.16,3
00MLNT,St. Peter's and North Laine,4.62,5
00MLNU,South Portslade,0.32,4
00MLNW,Stanford,-2.57,2
00MLNX,Westbourne,1.24,4
00MLNY,Wish,0.20,4
00MLNZ,Withdean,-1.25,3
00MLPA,Woodingdean,-0.58,3
00MRMP,Baffins,-1.29,3
00MRMQ,Central Southsea,0.76,4
00MRMR,Charles Dickens,9.72,5
00MRMS,Copnor,-2.38,2
00MRMT,Cosham,0.64,4
00MRMU,Drayton and Farlington,-3.19,1
00MRMW,Eastney and Craneswater,0.80,4
00MRMX,Fratton,1.03,4
00MRMY,Hilsea,-0.24,4
00MRMZ,Milton,-0.46,3
00MRNA,Nelson,2.16,4
00MRNB,Paulsgrove,3.40,5
00MRNC,St Jude,2.58,5
00MRND,St Thomas,4.55,5
00MSMR,Bargate,5.06,5
00MSMS,Bassett,-0.57,3
00MSMT,Bevois,6.83,5
00MSMU,Bitterne,3.62,5
00MSMW,Bitterne Park,-0.51,3
00MSMX,Coxford,1.50,4
00MSMY,Freemantle,1.22,4
00MSMZ,Harefield,0.92,4
00MSNA,Millbrook,1.64,4
00MSNB,Peartree,-0.32,3
00MSNC,Portswood,2.29,5
00MSND,Redbridge,3.17,5
00MSNE,Shirley,0.29,4
00MSNF,Sholing,-0.95,3
00MSNG,Swaythling,3.21,5
00MSNH,Woolston,1.98,4
00MWPC,Ashey,-1.04,3
00MWPD,Bembridge North,-2.77,1
00MWPE,Bembridge South,-1.42,3
00MWPF,Binstead,-2.52,2
00MWPG,Brading and St Helens,-0.25,4
00MWPH,Brighstone and Calbourne,-2.54,2
00MWPJ,Carisbrooke East,-2.58,2
00MWPK,Carisbrooke West,-1.53,3
00MWPL,Central Rural,-2.34,2
00MWPM,Chale,-1.14,3
00MWPN,Cowes Castle East,0.79,4
00MWPP,Cowes Castle West,-3.01,1
00MWPQ,Cowes Central,-0.66,3
00MWPR,Cowes Medina,1.19,4
00MWPS,East Cowes North,-2.08,2
00MWPT,East Cowes South,-0.23,4
00MWPU,Fairlee,-0.92,3
00MWPW,Freshwater Afton,-0.64,3
00MWPX,Freshwater Norton,0.87,4
00MWPY,Gurnard,-2.35,2
00MWPZ,Lake North,0.45,4
00MWQA,Lake South,0.04,4
00MWQB,Mount Joy,1.86,4
00MWQC,Newchurch,-2.45,2
00MWQD,Newport North,2.47,5
00MWQE,Newport South,0.47,4
00MWQF,Northwood,-2.44,2
00MWQG,Osborne,1.15,4
00MWQH,Pan,3.13,5
00MWQJ,Parkhurst,-1.06,3
00MWQK,Ryde North East,5.01,5
00MWQL,Ryde North West,1.69,4
00MWQM,Ryde South East,1.21,4
00MWQN,Ryde South West,0.97,4
00MWQP,St Johns East,-0.08,4
00MWQQ,St Johns West,3.21,5
00MWQR,Sandown North,1.52,4
00MWQS,Sandown South,1.70,4
00MWQT,Seaview and Nettlestone,-2.63,1
00MWQU,Shalfleet and Yarmouth,-1.69,2
00MWQW,Shanklin Central,0.15,4
00MWQX,Shanklin North,1.26,4
00MWQY,Shanklin South,1.25,4
00MWQZ,Totland,0.42,4
00MWRA,Ventnor East,2.05,4
00MWRB,Ventnor West,0.32,4
00MWRC,Wootton,-1.76,2
00MWRD,Wroxall and Godshill,-1.17,3
00NAMA,Aberffraw,2.98,5
00NAMB,Amlwch Port,2.96,5
00NAMC,Amlwch Rural,1.69,4
00NAMD,Beaumaris,1.41,4
00NAME,Bodffordd,-0.82,3
00NAMF,Bodorgan,-0.40,3
00NAMG,Braint,-1.82,2
00NAMH,Bryngwran,0.45,4
00NAMJ,Brynteg,-1.55,3
00NAMK,Cadnant,1.27,4
00NAML,Cefni,-1.38,3
00NAMM,Cwm Cadnant,-1.88,2
00NAMN,Cyngar,0.48,4
00NAMP,Gwyngyll,-2.42,2
00NAMQ,Holyhead Town,5.31,5
00NAMR,Kingsland,2.87,5
00NAMS,Llanbadrig,2.35,5
00NAMT,Llanbedrgoch,-1.93,2
00NAMU,Llanddyfnan,-1.51,3
00NAMW,Llaneilian,0.71,4
00NAMX,Llanfaethlu,0.15,4
00NAMY,Llanfair-yn-Neubwll,1.54,4
00NAMZ,Llanfihangel Ysgeifiog,-1.18,3
00NANA,Llangoed,0.39,4
00NANB,Llanidan,0.37,4
00NANC,Llannerch-y-medd,1.54,4
00NAND,London Road,6.34,5
00NANE,Maeshyfryd,5.97,5
00NANF,Mechell,-1.24,3
00NANG,Moelfre,1.43,4
00NANH,Morawelon,7.87,5
00NANJ,Parc a'r Mynydd,1.30,4
00NANK,Pentraeth,0.51,4
00NANL,Porthyfelin,5.19,5
00NANM,Rhosneigr,0.97,4
00NANN,Rhosyr,1.39,4
00NANP,Trearddur,-1.19,3
00NANQ,Tudur,6.37,5
00NANR,Tysilio,-0.45,3
00NANS,Valley,-0.09,4
00NCQA,Aberdaron,-0.39,3
00NCQB,Aberdovey,-0.26,4
00NCQC,Abererch,-1.20,3
00NCQD,Abermaw,5.36,5
00NCQE,Abersoch,-1.62,3
00NCQF,Arllechwedd,-1.23,3
00NCQG,Bala,1.78,4
00NCQH,Bethel,-2.53,2
00NCQJ,Bontnewydd,-1.84,2
00NCQK,Botwnnog,-0.96,3
00NCQL,Bowydd and Rhiw,4.12,5
00NCQM,Brithdir and Llanfachreth/Ganllwyd/Llanelltyd,-1.58,3
00NCQN,Bryn-crug,-0.91,3
00NCQP,Cadnant,4.25,5
00NCQQ,Clynnog,0.99,4
00NCQR,Corris\Mawddwy,0.10,4
00NCQS,Criccieth,-0.21,4
00NCQT,Cwm-y-Glo,0.27,4
00NCQU,Deiniol,6.75,5
00NCQW,Deiniolen,1.95,4
00NCQX,Dewi,2.22,5
00NCQY,Diffwys and Maenofferen,4.01,5
00NCQZ,Dolbernmaen,-1.44,3
00NCRA,Dolgellau North,0.38,4
00NCRB,Dolgellau South,2.34,5
00NCRC,Dyffryn Ardudwy,0.16,4
00NCRD,Efail-newydd/Buan,-1.46,3
00NCRE,Garth,1.19,4
00NCRF,Gerlan,2.18,4
00NCRG,Glyder,0.83,4
00NCRH,Groeslon,0.13,4
00NCRJ,Harlech,0.40,4
00NCRK,Hendre,4.16,5
00NCRL,Hirael,2.93,5
00NCRM,Llanaelhaearn,1.82,4
00NCRN,Llanbedr,-1.22,3
00NCRP,Llanbedrog,-1.92,2
00NCRQ,Llanberis,2.07,4
00NCRR,Llandderfel,-0.48,3
00NCRS,Llanengan,-0.67,3
00NCRT,Llangelynin,-0.73,3
00NCRU,Llanllyfni,2.20,5
00NCRW,Llanrug,-0.55,3
00NCRX,Llanuwchllyn,-2.86,1
00NCRY,Llanwnda,-0.64,3
00NCRZ,Llanystumdwy,-1.91,2
00NCSA,Marchog,9.26,5
00NCSB,Menai (Bangor),2.81,5
00NCSC,Menai (Caernarfon),0.00,4
00NCSD,Morfa Nefyn,-1.01,3
00NCSE,Nefyn,1.23,4
00NCSF,Ogwen,2.24,5
00NCSG,Peblig (Caernarfon),10.92,5
00NCSH,Penisarwaun,-0.61,3
00NCSJ,Penrhyndeudraeth,0.12,4
00NCSK,Pentir,-1.51,3
00NCSL,Penygroes,2.45,5
00NCSM,Porthmadog East,2.13,4
00NCSN,Porthmadog West,-1.70,2
00NCSP,Porthmadog - Tremadog,1.17,4
00NCSQ,Pwllheli North,1.86,4
00NCSR,Pwllheli South,3.07,5
00NCST,Seiont,2.13,4
00NCSU,Talysarn,1.88,4
00NCSW,Teigl,1.73,4
00NCSX,Trawsfynydd,0.27,4
00NCSY,Tregarth & Mynydd Llandygai,-0.28,3
00NCSZ,Tudweiliog,-0.97,3
00NCTA,Tywyn,1.31,4
00NCTB,Waunfawr,-1.03,3
00NCTC,Y Felinheli,-0.40,3
00NENT,Abergele Pensarn,4.39,5
00NENU,Betws-y-Coed,-0.57,3
00NENW,Betws yn Rhos,-2.03,2
00NENX,Bryn,1.78,4
00NENY,Caerhun,-1.94,2
00NENZ,Capelulo,-1.66,3
00NEPA,Colwyn,0.29,4
00NEPB,Conwy,0.60,4
00NEPC,Craig-y-Don,0.80,4
00NEPD,Crwst,1.32,4
00NEPE,Deganwy,-2.00,2
00NEPF,Eglwysbach,-2.01,2
00NEPG,Eirias,0.22,4
00NEPH,Gele,-1.88,2
00NEPJ,Glyn,3.72,5
00NEPK,Gogarth,2.17,4
00NEPL,Gower,1.65,4
00NEPM,Kinmel Bay,-0.19,4
00NEPN,Llanddulas,-1.52,3
00NEPP,Llandrillo yn Rhos,-0.16,4
00NEPQ,Llangernyw,-0.66,3
00NEPR,Llansanffraid,-1.74,2
00NEPS,Llansannan,-0.91,3
00NEPT,Llysfaen,1.66,4
00NEPU,Marl,-1.97,2
00NEPW,Mochdre,1.38,4
00NEPX,Mostyn,2.74,5
00NEPY,Pandy,-1.21,3
00NEPZ,Pant-yr-afon/Penmaenan,2.10,4
00NEQA,Penrhyn,-2.93,1
00NEQB,Pensarn,-0.60,3
00NEQC,Pentre Mawr,1.03,4
00NEQD,Rhiw,-0.22,4
00NEQE,Towyn,0.60,4
00NEQF,Trefriw,0.38,4
00NEQG,Tudno,4.82,5
00NEQH,Uwch Conwy,-0.33,3
00NEQJ,Uwchaled,-0.73,3
00NGNK,Bodelwyddan,1.15,4
00NGNL,Corwen,1.07,4
00NGNM,Denbigh Central,0.15,4
00NGNN,Denbigh Lower,-2.80,1
00NGNP,Denbigh Upper/Henllan,4.00,5
00NGNQ,Dyserth,-0.94,3
00NGNR,Efenechtyd,-3.17,1
00NGNS,Llanarmon-yn-Ial/Llandegla,-2.80,1
00NGNT,Llanbedr Dyffryn Clwyd/Llangynhafal,-2.52,2
00NGNU,Llandrillo,-0.65,3
00NGNW,Llandyrnog,-1.43,3
00NGNX,Llanfair Dyffryn Clwyd/Gwyddelwern,-1.79,2
00NGNY,Llangollen,-0.07,4
00NGNZ,Llanrhaeadr-yng-Nghinmeirch,-2.12,2
00NGPA,Prestatyn Central,0.28,4
00NGPB,Prestatyn East,-1.23,3
00NGPC,Prestatyn Meliden,1.67,4
00NGPD,Prestatyn North,-0.40,3
00NGPE,Prestatyn South West,-0.63,3
00NGPF,Rhuddlan,-1.29,3
00NGPG,Rhyl East,1.26,4
00NGPH,Rhyl South,-1.16,3
00NGPJ,Rhyl South East,-0.03,4
00NGPK,Rhyl South West,5.83,5
00NGPL,Rhyl West,9.75,5
00NGPM,Ruthin,-1.18,3
00NGPN,St. Asaph East,-1.12,3
00NGPP,St. Asaph West,0.96,4
00NGPQ,Trefnant,-1.58,3
00NGPR,Tremeirchion,-2.29,2
00NJPJ,Argoed,-3.36,1
00NJPK,Aston,-1.29,3
00NJPL,Bagillt East,-0.40,3
00NJPM,Bagillt West,0.81,4
00NJPN,Broughton North East,-0.89,3
00NJPP,Broughton South,-2.45,2
00NJPQ,Brynford,-2.27,2
00NJPR,Buckley Bistre East,-1.61,3
00NJPS,Buckley Bistre West,1.51,4
00NJPT,Buckley Mountain,-1.88,2
00NJPU,Buckley Pentrobin,-2.26,2
00NJPW,Caergwrle,0.04,4
00NJPX,Caerwys,-2.30,2
00NJPY,Cilcain,-2.45,2
00NJPZ,Connah's Quay Central,3.00,5
00NJQA,Connah's Quay Golftyn,-0.47,3
00NJQB,Connah's Quay South,-2.86,1
00NJQC,Connah's Quay Wepre,-1.48,3
00NJQD,Ewloe,-4.21,1
00NJQE,Ffynnongroyw,0.64,4
00NJQF,Flint Castle,5.60,5
00NJQG,Flint Coleshill,0.53,4
00NJQH,Flint Oakenholt,0.90,4
00NJQJ,Flint Trelawny,-3.36,1
00NJQK,Greenfield,1.19,4
00NJQL,Gronant,0.06,4
00NJQM,Gwernaffield,-3.19,1
00NJQN,Gwernymynydd,-2.40,2
00NJQP,Halkyn,-2.18,2
00NJQQ,Hawarden,-2.83,1
00NJQR,Higher Kinnerton,-3.81,1
00NJQS,Holywell Central,4.15,5
00NJQT,Holywell East,0.00,4
00NJQU,Holywell West,0.51,4
00NJQW,Hope,-2.01,2
00NJQX,Leeswood,-0.38,3
00NJQY,Llanfynydd,-2.44,2
00NJQZ,Mancot,-0.43,3
00NJRA,Mold Broncoed,0.83,4
00NJRB,Mold East,-0.32,3
00NJRC,Mold South,-3.81,1
00NJRD,Mold West,3.20,5
00NJRE,Mostyn,1.57,4
00NJRF,New Brighton,-2.79,1
00NJRG,Northop,-3.53,1
00NJRH,Northop Hall,-1.54,3
00NJRJ,Penyffordd,-3.16,1
00NJRK,Queensferry,2.19,4
00NJRL,Saltney Mold Junction,2.79,5
00NJRM,Saltney Stonebridge,0.52,4
00NJRN,Sealand,1.81,4
00NJRP,Shotton East,0.84,4
00NJRQ,Shotton Higher,6.24,5
00NJRR,Shotton West,0.08,4
00NJRS,Trelawnyd and Gwaenysgor,-1.59,3
00NJRT,Treuddyn,-0.63,3
00NJRU,Whitford,-3.26,1
00NLNW,Acton,2.40,5
00NLNX,Borras Park,-3.69,1
00NLNY,Bronington,-2.68,1
00NLNZ,Brymbo,0.91,4
00NLPA,Brynyffynnon,2.90,5
00NLPB,Bryn Cefn,-0.44,3
00NLPC,Cartrefle,5.40,5
00NLPD,Cefn,2.01,4
00NLPE,Dyffryn Ceiriog/Ceiriog Valley,-1.08,3
00NLPF,Chirk North,1.00,4
00NLPG,Chirk South,1.52,4
00NLPH,Coedpoeth,0.57,4
00NLPJ,Erddig,-0.38,3
00NLPK,Esclusham,-0.02,4
00NLPL,Garden Village,-3.36,1
00NLPM,Gresford East and West,-1.75,2
00NLPN,Grosvenor,1.15,4
00NLPP,Gwenfro,3.83,5
00NLPQ,Gwersyllt East and South,-0.30,3
00NLPR,Gwersyllt North,2.07,4
00NLPS,Gwersyllt West,0.31,4
00NLPT,Hermitage,4.35,5
00NLPU,Holt,-2.22,2
00NLPW,Johnstown,-0.87,3
00NLPX,Little Acton,-2.09,2
00NLPY,Llangollen Rural,-1.09,3
00NLPZ,Llay,1.16,4
00NLQA,Maesydre,-0.37,3
00NLQB,Marchwiel,-1.96,2
00NLQC,Marford and Hoseley,-4.33,1
00NLQD,Minera,-2.51,2
00NLQE,New Broughton,0.71,4
00NLQF,Offa,1.61,4
00NLQG,Overton,-1.52,3
00NLQH,Pant,4.05,5
00NLQJ,Penycae,3.46,5
00NLQK,Penycae and Ruabon South,-1.29,3
00NLQL,Plas Madoc,10.56,5
00NLQM,Ponciau,0.15,4
00NLQN,Queensway,10.35,5
00NLQP,Rhosnesni,-3.40,1
00NLQQ,Rossett,-2.24,2
00NLQR,Ruabon,2.34,5
00NLQS,Smithfield,4.08,5
00NLQT,Stansty,-0.97,3
00NLQU,Whitegate,2.90,5
00NLQW,Wynnstay,9.50,5
00NNQG,Aber-craf,0.30,4
00NNQH,Banwy,-1.67,2
00NNQJ,Beguildy,-1.60,3
00NNQK,Berriew,-1.78,2
00NNQL,Blaen Hafren,-3.38,1
00NNQM,Bronllys,-2.54,2
00NNQN,Builth,-0.35,3
00NNQP,Bwlch,-2.27,2
00NNQQ,Caersws,-1.71,2
00NNQR,Churchstoke,-2.00,2
00NNQS,Crickhowell,-0.82,3
00NNQT,Cwm-twrch,0.61,4
00NNQU,Disserth and Trecoed,-1.11,3
00NNQW,Dolforwyn,-3.40,1
00NNQX,Felin-fƒch,-2.71,1
00NNQY,Forden,-2.65,1
00NNQZ,Glantwymyn,-1.52,3
00NNRA,Glasbury,-3.27,1
00NNRB,Guilsfield,-2.53,2
00NNRC,Gwernyfed,-1.51,3
00NNRD,Hay,1.15,4
00NNRE,Kerry,-2.55,2
00NNRF,Knighton,-0.22,4
00NNRG,Llanafanfawr,-2.78,1
00NNRH,Llanbadarn Fawr,-2.22,2
00NNRJ,Llanbrynmair,-2.03,2
00NNRK,Llandinam,-2.93,1
00NNRL,Llandrindod East/Llandrindod West,5.39,5
00NNRM,Llandrindod North,1.37,4
00NNRN,Llandrindod South,0.36,4
00NNRP,Llandrinio,-1.86,2
00NNRQ,Llandysilio,-1.96,2
00NNRR,Llanelwedd,-2.27,2
00NNRS,Llanfair Caereinion,-2.18,2
00NNRT,Llanfihangel,-2.62,2
00NNRU,Llanfyllin,-0.01,4
00NNRW,Llangattock,-2.48,2
00NNRX,Llangors,-2.19,2
00NNRY,Llangunllo,-3.00,1
00NNRZ,Llangynidr,-3.29,1
00NNSA,Llanidloes,-0.78,3
00NNSB,Llanrhaeadr-ym-Mochnant,-0.45,3
00NNSC,Llanrhaeadr-ym-Mochnant/Llansilin,-0.36,3
00NNSD,Llansantffraid,-1.45,3
00NNSE,Llanwrtyd Wells,-0.71,3
00NNSF,Llanyre,-1.00,3
00NNSG,Machynlleth,2.96,5
00NNSH,Maescar/Llywel,-1.99,2
00NNSJ,Meifod,-2.02,2
00NNSK,Montgomery,-0.95,3
00NNSL,Nantmel,-2.47,2
00NNSM,Newtown Central,2.49,5
00NNSN,Newtown East,2.31,5
00NNSP,Newtown Llanllwchaiarn North,-1.98,2
00NNSQ,Newtown Llanllwchaiarn West,-1.87,2
00NNSR,Newtown South,4.74,5
00NNST,Old Radnor,-2.14,2
00NNSU,Presteigne,-1.06,3
00NNSW,Rhayader,1.04,4
00NNSX,Rhiwcynon,-2.57,2
00NNSY,St. David Within,1.24,4
00NNSZ,St. John,1.03,4
00NNTA,St. Mary,0.43,4
00NNTB,Talgarth,-1.37,3
00NNTC,Talybont-on-Usk,-1.84,2
00NNTD,Tawe-Uchaf,-0.72,3
00NNTE,Trewern,-2.56,2
00NNTF,Welshpool Castle,4.89,5
00NNTG,Welshpool Gungrog,-0.32,3
00NNTH,Welshpool Llanerchyddol,0.33,4
00NNTJ,Ynyscedwyn,-0.88,3
00NNTK,Yscir,-3.32,1
00NNTL,Ystradgynlais,2.47,5
00NQNP,Aberaeron,1.63,4
00NQNQ,Aberporth,-0.31,3
00NQNR,Aberteifi/Cardigan - Mwldan,0.07,4
00NQNS,Aberteifi/Cardigan - Rhyd-y-Fuwch,3.73,5
00NQNT,Aberteifi/Cardigan - Teifi,5.58,5
00NQNU,Aberystwyth Bronglais,1.74,4
00NQNW,Aberystwyth Canol/Central,8.56,5
00NQNX,Aberystwyth Gogledd/North,3.77,5
00NQNY,Aberystwyth Penparcau,3.19,5
00NQNZ,Aberystwyth Rheidol,3.61,5
00NQPA,Beulah,-2.31,2
00NQPB,Borth,-0.61,3
00NQPC,Capel Dewi,-2.26,2
00NQPD,Ceulanamaesmawr,-1.82,2
00NQPE,Ciliau Aeron,-1.39,3
00NQPF,Faenor,-0.59,3
00NQPG,Lampeter,1.59,4
00NQPH,Llanarth,0.61,4
00NQPJ,Llanbadarn Fawr - Padarn,0.83,4
00NQPK,Llanbadarn Fawr - Sulien,0.65,4
00NQPL,Llandyfriog,-0.87,3
00NQPM,Llandysiliogogo,-2.47,2
00NQPN,Llandysul Town,1.24,4
00NQPP,Llanfarian,-2.40,2
00NQPQ,Llanfihangel Ystrad,-1.40,3
00NQPR,Llangeitho,-1.53,3
00NQPS,Llangybi,-0.84,3
