Ward-Code,Ward-Name,Townsend01,Quintiles
17UBHB,Wingfield,-2.60,2
17UCGB,Barlborough,-1.92,2
17UCGC,Blackwell,0.19,4
17UCGD,Bolsover North West,1.73,4
17UCGE,Bolsover South,0.93,4
17UCGF,Bolsover West,0.90,4
17UCGG,Clowne North,0.99,4
17UCGH,Clowne South,-1.19,3
17UCGJ,Elmton-with-Creswell,3.13,5
17UCGK,Pinxton,0.70,4
17UCGL,Pleasley,0.56,4
17UCGM,Scarcliffe,2.62,5
17UCGN,Shirebrook East,4.83,5
17UCGP,Shirebrook Langwith,4.03,5
17UCGQ,Shirebrook North West,7.06,5
17UCGR,Shirebrook South East,3.25,5
17UCGS,Shirebrook South West,1.09,4
17UCGT,South Normanton East,0.32,4
17UCGU,South Normanton West,-1.55,3
17UCGW,Tibshelf,0.60,4
17UCGX,Whitwell,0.38,4
17UDFX,Barrow Hill and New Whittington,1.25,4
17UDFY,Brimington North,1.33,4
17UDFZ,Brimington South,-0.30,3
17UDGA,Brockwell,-0.93,3
17UDGB,Dunston,4.28,5
17UDGC,Hasland,0.01,4
17UDGD,Hollingwood and Inkersall,0.46,4
17UDGE,Holmebrook,4.15,5
17UDGF,Linacre,-2.85,1
17UDGG,Loundsley Green,4.99,5
17UDGH,Lowgates and Woodthorpe,2.39,5
17UDGJ,Middlecroft and Poolsbrook,8.44,5
17UDGK,Moor,2.54,5
17UDGL,Old Whittington,3.30,5
17UDGM,Rother,6.35,5
17UDGN,St Helen's,4.95,5
17UDGP,St Leonard's,0.08,4
17UDGQ,Walton,-3.76,1
17UDGR,West,-3.27,1
17UFGC,Ashbourne North,0.06,4
17UFGD,Ashbourne South,-0.84,3
17UFGE,Bakewell,-1.16,3
17UFGF,Bradwell,-1.72,2
17UFGG,Brailsford,-3.07,1
17UFGH,Calver,-2.68,1
17UFGJ,Carsington Water,-2.30,2
17UFGK,Chatsworth,-1.44,3
17UFGL,Clifton and Bradley,-2.47,2
17UFGM,Darley Dale,-1.83,2
17UFGN,Dovedale and Parwich,-1.28,3
17UFGP,Doveridge and Sudbury,-1.91,2
17UFGQ,Hartington and Taddington,-2.74,1
17UFGR,Hathersage and Eyam,-1.90,2
17UFGS,Hulland,-3.42,1
17UFGT,Lathkill and Bradford,-1.15,3
17UFGU,Litton and Longstone,-3.03,1
17UFGW,Masson,-1.56,3
17UFGX,Matlock All Saints,-1.92,2
17UFGY,Matlock St Giles,0.34,4
17UFGZ,Norbury,-3.00,1
17UFHA,Stanton,-1.73,2
17UFHB,Tideswell,-1.39,3
17UFHC,Winster and South Darley,-1.96,2
17UFHD,Wirksworth,-1.03,3
17UGGC,Abbotsford,-2.94,1
17UGGD,Breaston,-2.60,2
17UGGE,Cotmanhay,1.17,4
17UGGF,Derby Road East,0.91,4
17UGGG,Derby Road West,-0.57,3
17UGGH,Draycott,-1.11,3
17UGGJ,Hallam Fields,-0.66,3
17UGGK,Ilkeston Central,1.22,4
17UGGL,Ilkeston North,5.70,5
17UGGM,Kirk Hallam,2.97,5
17UGGN,Little Eaton and Breadsall,-2.68,1
17UGGP,Little Hallam,-0.77,3
17UGGQ,Long Eaton Central,-1.07,3
17UGGR,Nottingham Road,0.08,4
17UGGS,Ockbrook And Borrowash,-2.22,2
17UGGT,Old Park,0.89,4
17UGGU,Sandiacre North,1.20,4
17UGGW,Sandiacre South,-2.65,1
17UGGX,Sawley,-0.33,3
17UGGY,Stanley,-1.63,3
17UGGZ,West Hallam and Dale Abbey,-3.91,1
17UGHA,Wilsthorpe,-2.42,2
17UHGC,Barms,0.25,4
17UHGD,Blackbrook,-3.19,1
17UHGE,Burbage,-3.32,1
17UHGF,Buxton Central,0.94,4
17UHGG,Chapel East,-1.58,3
17UHGH,Chapel West,-1.92,2
17UHGJ,Corbar,-1.08,3
17UHGK,Cote Heath,-0.59,3
17UHGL,Dinting,-4.12,1
17UHGM,Gamesley,9.04,5
17UHGN,Hadfield North,2.12,4
17UHGP,Hadfield South,-1.36,3
17UHGQ,Hayfield,-1.65,3
17UHGR,Hope Valley,-2.12,2
17UHGS,Howard Town,0.19,4
17UHGT,Limestone Peak,-1.12,3
17UHGU,New Mills East,1.46,4
17UHGW,New Mills West,-2.15,2
17UHGX,Old Glossop,-1.80,2
17UHGY,Padfield,-1.60,3
17UHGZ,St John's,-3.22,1
17UHHA,Sett,-3.76,1
17UHHB,Simmondley,-3.83,1
17UHHC,Stone Bench,2.07,4
17UHHD,Temple,-2.86,1
17UHHE,Tintwistle,-1.58,3
17UHHF,Whaley Bridge,-1.92,2
17UHHG,Whitfield,4.34,5
17UJGD,Ashover,-2.56,2
17UJGE,Barlow and Holmesfield,-1.93,2
17UJGF,Brampton and Walton,-2.40,2
17UJGG,Clay Cross North,2.42,5
17UJGH,Clay Cross South,4.27,5
17UJGJ,Coal Aston,-3.39,1
17UJGK,Dronfield North,0.21,4
17UJGL,Dronfield South,-3.02,1
17UJGM,Dronfield Woodhouse,-3.43,1
17UJGN,Eckington North,-1.05,3
17UJGP,Eckington South,3.28,5
17UJGQ,Gosforth Valley,-3.50,1
17UJGR,Grassmoor,2.46,5
17UJGS,Holmewood and Heath,4.22,5
17UJGT,Killamarsh East,-0.57,3
17UJGU,Killamarsh West,-0.82,3
17UJGW,North Wingfield Central,2.14,4
17UJGX,Pilsley and Morton,-0.51,3
17UJGY,Renishaw,3.02,5
17UJGZ,Ridgeway and Marsh Lane,-0.61,3
17UJHA,Shirland,1.37,4
17UJHB,Sutton,-0.21,4
17UJHC,Tupton,1.27,4
17UJHD,Unstone,0.68,4
17UJHE,Wingerworth,-3.90,1
17UKFW,Aston,-3.63,1
17UKFX,Church Gresley,-0.66,3
17UKFY,Etwall,-2.95,1
17UKFZ,Hartshorne and Ticknall,0.30,4
17UKGA,Hatton,-1.85,2
17UKGB,Hilton,-3.94,1
17UKGC,Linton,-1.73,2
17UKGD,Melbourne,-1.86,2
17UKGE,Midway,-1.27,3
17UKGF,Newhall and Stanton,-0.05,4
17UKGG,North West,-2.69,1
17UKGH,Repton,-2.62,2
17UKGJ,Seales,-1.73,2
